name,keggId,formula,mass
"5,6-Dimethylbenzimidazole~5.6-Dimethylbenzimidazole~Dimethylbenzimidazole",C03114,C9H10N2,146.08439
2.6-Diaminohexanoic acid~L-Lysine~L-lysinium(1+)~Lysine~Lysine acid,C00047,C6H14N2O2~C6H15N2O2,146.10551
4-(trimethylammonio)butanoate~gamma-butyrobetaine,C01181,C7H15NO2,146.11809
2-Aminoglutaric acid~D-2-Aminoglutaric acid~D-Glutamate~D-Glutamic acid~D-Glutaminic acid~DL-Glutamate~DL-Glutaminic acid~GLU~Glutamate~glutamate(1-)~Glutaminic acid~L-4-hydroxyglutamate semialdehyde~L-Glutamate~L-Glutamic acid~L-Glutaminic acid~O-Acetyl-L-serine~O-acetyl-L-serine zwitterion~O3-Acetyl-L-serine,C00025~C00217~C00302~C00979~C05938,C5H8NO4~C5H9NO4,147.053135
2-hydroxy-3-oxosuccinate(2-),C00975,C4H2O6,148.00076
D-citramalate(2-)~D-erythro-3-methylmalate(2-),C02612~C06032,C5H6O5,148.03715
trans-Cinnamate,C00423,C9H8O2,148.05242
"(2R,3R)-2,3-dihydroxy-3-methylpentanoate~(2R.3R)-2.3-Dihydroxy-3-methylpentanoate~(R)-2,3-Dihydroxy-3-methylpentanoate~(R)-2.3-Dihydroxy-3-methylpentanoate~(R)-2.3-Dihydroxy-3-methylvalerate~(R)-Pantoate~2.3-Dihydroxy-3-methylpentanoate~2.3-Dihydroxy-3-methylvalerate~Pantoate~Pantoic acid~R-2-3-Dihydroxy-3-methylpentanoate~R-Pantoate",C00522~C04104~C06007,C6H11O4~C6H12O4,148.07354
(S)-4-hydroxymandelonitrile,C03742,C8H7NO2,149.047665
2-Amino-4-(methylthio)butyric acid~D-Methionine~L-2-Amino-4methylthiobutyric acid~L-Methionine~L-methionine zwitterion~Methionine,C00073~C00855,C5H11NO2S,149.051035
"(2R,3S)-tartrate~D-tartrate~L-tartrate",C00552~C00898~C02107,C4H4O6~C4H6O6,150.01641
phenylglyoxylate,C02137,C8H5O3,150.03168
aldehydo-D-xylose~beta-D-ribose~D-Ribose~D-ribulose~D-Xylose~D-Xylulose~L-arabinopyranose~L-Arabinose~L-Lyxose~L-Ribulose~L-Xylulose~Ribose,C00121~C00181~C00259~C00309~C00310~C00312~C00508~C01508~C16639,C5H10O5,150.0528
4-hydroxycinnamyl alcohol~Phenylpropanoate,C02646~C05629,C9H10O2,150.06807
(S)-carvone~perillyl aldehyde,C02576~C11383,C10H14O,150.10446
2-Amino-6-hydroxypurine~GNN~Guanine,C00242,C5H5N5O,151.049385
N-methyltyraminium,C02442,C9H14NO,151.099705
9H-xanthine~XAN~Xanthine,C00385,C5H4N4O2,152.0334
"3,4-Dihydroxyphenylacetaldehyde~3-methylsalicylate~4-hydroxymethylsalicylaldehyde~4-methylsalicylate",C04043~C14088~C14103~C14108,C8H7O3~C8H8O3,152.04733
xylitol,C00379,C5H12O5,152.06845
"(1R,5S)-carveol~(2Z)-5-isopropyl-2-methylhexa-2,5-dienal~a (4S)-1,2-epoxymenth-8-ene~alpha-pinene oxide~geranial~Myrtenol~pinocarveol",C01499~C02759~C04435~C11409~C11938~C11941~C19081,C10H16O,152.12011
3-disulfanyl-L-alanine zwitterion,C01962,C3H7NO2S2,152.991805
3-Sulfino-L-alanine,C00606,C3H6NO4S~C3H7NO4S,153.009555
Thiobenzamide S-oxide,C16283,C7H7NOS,153.024825
3-hydroxyanthranilate,C00632,C7H6NO3,153.042575
Dopamine,C03758,C8H11NO2~C8H12NO2,153.078965
"2,4-Diamino-6-hydroxylaminotoluene",C16399,C7H11N3O,153.090195
Propanoyl phosphate~Propionyl phosphate,C02876,C3H5O5P~C3H7O5P,154.003085
"2,3-Dihydroxybenzoate~2,5-dihydroxybenzoate~2.3-Dihydroxybenzoate~2.3-Dihydroxybenzoic acid~3,4-dihydroxybenzoate",C00196~C00230~C00628,C7H5O4~C7H6O4,154.02659
(R)-(+)-citronellal~(S)-(-)-citronellal,C09848~C11384,C10H18O,154.13576
(R)-1-Aminopropan-2-yl phosphate~(R)-1-ammoniopropan-2-yl phosphate(1-)~D-1-Aminopropan-2-ol O-phosphate,C04122,C3H10NO4P~C3H9NO4P,155.03472
(S)-alpha-Amino-1H-imidazole-4-propionic acid~L-Histidine~L-histidine zwitterion,C00135,C6H9N3O2,155.069455
2-Phosphoglycolate~2-phosphonatoglycolate(3-)~Phosphoglycolic acid,C00988,C2H2O6P~C2H5O6P,155.982345
Orotate~Orotic acid~Uracil-6-carboxylic acid,C00295,C5H3N2O4~C5H4N2O4,156.01708
"(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate~2,3-Dihydro-2,3-dihydroxybenzoate~3-methyl-cis,cis-muconate~4-carboxylatomethyl-3-methylbut-2-en-1,4-olide(1-)~4-carboxylatomethyl-4-methylbut-2-en-1,4-olide(1-)",C04112~C04171~C04558~C04559~C06321,C7H6O4~C7H7O4~C7H8O4,156.04224
4-imidazolone-5-propionate,C03680,C6H7N2O3,156.05347
1-naphthaldehyde~2-naphthaldehyde,C14090~C14099,C11H8O,156.05751
indole-3-acetonitrile,C02938,C10H8N2,156.06874
(R)-(+)-citronellol,C09849,C10H20O,156.15141
"4-carboxy-2-hydroxypenta-2,4-dienoate~maleylacetate",C02222~C06035,C6H4O5,158.0215
(S)-4.5-Dihydroorotate~(S)-Dihydroorotate~Dihydro-L-orotic acid~L-Dihydroorotate~L-Dihydroorotic acid~S-Dihydroorotate,C00337,C5H5N2O4~C5H6N2O4,158.03273
(R)(-)-Allantoin~(R)-Allantoin~(S)(+)-Allantoin~(S)-(+)-allantoin~(S)-Allantoin~5-Ureidohydantoin~Allantoin~Glyoxyldiureide,C01551~C02348,C4H6N4O3,158.04396
2-Isopropylmaleate~2-isopropylmaleate(2-)~beta-Isopropylmaleate,C02631,C7H10O4~C7H8O4,158.05789
5-hydroxyectoine,C16432,C6H10N2O3,158.06912
(1-naphthyl)methanol~(2-naphthyl)methanol,C02909~C14089,C11H10O,158.07316
indole-3-acetaldehyde,C00637,C10H9NO,159.068405
"N-3-aminopropyl-1,5-diaminopentane",C16565,C8H21N3,159.173535
"(+)-5-fluoromuconolactone~2-fluoromuconate~3-Fluoro-cis,cis-muconate~4-Fluoromuconolactone",C16474~C16475~C16476~C16477,C6H3FO4~C6H4FO4,160.017165
"(3R,4S,5R)-3,4,5-trihydroxy-6-oxocyclohex-1-en-1-olate~2-formylglutarate(2-)~3-Keto-adipate~3-ketoadipate~3-Oxoadipate~3-Oxoadipic acid",C00846~C04287~C16159,C6H6O5~C6H7O5~C6H8O5,160.03715
"naphthalene-1,2-diol",C03012,C10H8O2,160.05242
"Ala-Ala~D-Ala-D-Ala~D-Alanyl-D-alanine~N(4)-acetyl-L-2,4-diaminobutyric acid zwitterion",C00993~C06442,C6H12N2O3,160.08477
tryptaminium,C00398,C10H13N2,160.10004
selenophosphate,C05172,O3PSe,160.941965
"quinoline-4,6-diol~quinoline-4,8-diol",C05637~C05639,C9H7NO2,161.047665
L-2-aminoadipate~L-alpha-Aminoadipic acid~O-Acetyl-L-homoserine~O-acetyl-L-homoserine zwitterion,C00956~C01077,C6H10NO4~C6H11NO4,161.068785
L-Carnitine,C00318,C7H15NO3,161.105175
Molybdate,C06232,H2MoO4,161.93529
"2,6-dichlorophenol",C07096,C6H3Cl2O,161.96391
4-hydroxy-2-oxoglutarate(2-)~D-4-hydroxy-2-oxoglutarate,C01127~C05946,C5H4O6,162.01641
Amylose monomer~D-glucan monomer,C00718~C02257,C6H10O5,162.0528
N6-Hydroxy-L-lysine,C01028,C6H14N2O3,162.10042
D-Carnitine,C00487,C7H15NO3,162.113
N-acetyl-L-cysteine,C06809,C5H9NO3S,163.030295
erythro-4-hydroxy-L-glutamate,C05947,C5H8NO5,163.048045
3-coumarate~3-hydroxycinnamic acid~3-Phenyl-2-oxopropanoate~alpha-Ketohydrocinnamic acid~cis-2-coumarate~keto-Phenylpyruvate~Phenylpyruvate~Phenylpyruvic acid,C00166~C05838~C12621,C9H7O3~C9H8O3,164.04733
L-Fucose~L-fuculose~L-rhamnopyranose~L-Rhamnose~L-Rhamnulose,C00507~C00861~C01019~C01721,C6H12O5,164.06845
S-Methyl-L-methionine,C03172,C6H13NO2S,164.07451
L-Methionine (S)-S-oxide~L-Methionine S-oxide~L-Methionine Sulfoxide~L-methionine-R-sulfoxide,C02989~C15998~C15999,C5H11NO3S,165.045945
(S)-alpha-Amino-beta-phenylpropionic acid~D-phenylalanine zwitterion~L-Phenylalanine,C00079~C02265,C9H11NO2,165.078965
hordenine,C06199,C10H16NO,165.115355
3-formylsalicylic acid~4-hydroxyphenylglyoxylate,C03590~C14096,C8H5O4,166.02659
(4-hydroxy-3-methoxyphenyl)acetaldehyde~3-(3-hydroxy-phenyl)propionate~3-(3-hydroxyphenyl)propanoate,C05581~C11457,C9H10O3~C9H9O3,166.06298
perillate,C11924,C10H13O2,166.09937
2.3-Pyridinedicarboxylic acid~Pyridine-2.3-dicarboxylate~Quinolinate~quinolinate(2-)~Quinolinic acid,C03722,C7H3NO4~C7H5NO4,167.021835
Pyridoxal,C00250,C8H9NO3,167.058225
"2,4-Diamino-6-nitrotoluene",C16396,C7H9N3O2,167.069455
3-methoxytyramine,C05587,C9H14NO2,167.094615
PEP~Phosphoenolpyruvate~Phosphoenolpyruvic acid,C00074,C3H2O6P~C3H5O6P,167.982345
Urate,C00366,C5H3N4O3~C5H4N4O3,168.02831
"3,4-dihydroxymandelaldehyde~4-hydroxymethylsalicylic acid~Homogentisate",C00544~C05577~C14109,C8H7O4~C8H8O4,168.04224
Pyridoxamine~pyridoxaminium(1+),C00534,C8H12N2O2~C8H13N2O2,168.08986
"cis-2,6-dimethyl-5-methylenehept-2-enoic acid~geranate",C11944~C16461,C10H15O2,168.11502
L-cysteate(1-),C00506,C3H6NO5S,169.004465
1-Amino-3-(phosphohydroxy)propan-2-one~3-Amino-2-oxopropyl phosphate,C11638,C3H8NO5P,169.01398
"Thiobenzamide S,S-dioxide",C16285,C7H7NO2S,169.019735
"(S)-2,3-dihydrodipicolinate~2,3-Dihydrodipicolinate~2-3-Dihydrodipicolinate~2.3-Dihydrodipicolinate~Dihydrodipicolinate~Dihydrodipicolinic acid~L-2,3-Dihydrodipicolinate~L-2.3-Dihydrodipicolinate",C03340,C7H5NO4~C7H7NO4,169.037485
(R)-noradrenaline~Pyridoxine,C00314~C00547,C8H11NO3~C8H12NO3,169.073875
N(pros)-methyl-L-histidine,C01152,C7H11N3O2,169.085105
(2R)-2-Hydroxy-3-(phosphonooxy)-propanal~(2S)-2-Phospholactate~D-Glyceraldehyde 3-phosphate~D-glyceraldehyde-3-phosphate~dihydroxy-acetone-phosphate~Dihydroxyacetone phosphate~Dihydroxyacetonephosphate~DL-Glyceraldehyde 3-phosphate~Glyceraldehyde 3-phosphate~Glyceraldehyde-3-phosphate~Glyceraldehyde3-phosphate~Glycerone phosphate~glycerone-phosphate,C00111~C00118~C00661~C19156,C3H4O6P~C3H5O6P~C3H7O6P,169.997995
"(1R,6S)-1,6-dihydroxy-4-methylcyclohexa-2,4-diene-1-carboxylate~1,6-dihydroxy-2-methylcyclohexa-2,4-diene-1-carboxylate~1,6-dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate~3,4-dihydroxyphenylethyleneglycol",C05576~C06720~C06729~C06731,C8H10O4~C8H9O4,170.05789
N-isopropylammelide,C06553,C6H10N4O2,170.08035
"(1R,2R,4S)-limonene-1,2-diol~citronellate",C16462~C19082,C10H17O2~C10H18O2,170.13067
"(S)-2,3,4,5-tetrahydrodipicolinate(2-)~(S)-2.3.4.5-Tetrahydropyridine-2.6-dicarboxylate~2,3,4,5-Tetrahydrodipicolinate~2-3-4-5-Tetrahydrodipicolinate~2.3.4.5-Tetrahydrodipicolinate~delta1-Piperidine-2.6-dicarboxylate~L-2.3.4.5-Tetrahydrodipicolinate~tetrahydrodipicolinate",C03972,C7H7NO4~C7H9NO4,171.053135
D-Glycerol 1-phosphate~GLYC-3-P~Glycerol 1-phosphate~Glycerol 2-phosphate~Glycerol 3-phosphate~Glycerol-3-phosphate~Glycerol3-phosphate~Glycerophosphoric acid~L-Glycerol 1-phosphate~sn-Glycerol 1-phosphate~sn-Glycerol 3-phosphate~sn-Gro-1-P,C00093~C00623~C02979,C3H7O6P~C3H9O6P,172.013645
toluene-4-sulfonate,C06677,C7H7O3S,172.0194
3-dehydro-shikimate~3-Dehydroshikimate~5-Methylmaleylacetate,C02637~C18306,C7H6O5~C7H7O5~C7H8O5,172.03715
hydantoin-5-propionate,C05565,C6H7N2O4,172.04838
1-naphthoate~2-naphthoate,C14091~C14101,C11H7O2,172.05242
Decanoate (n-C10:0)~Decanoic acid,C01571,C10H20O2,172.14632
2-Acetamido-5-oxopentanoate~N-Acetyl-L-glutamate 5-semialdehyde,C01250,C7H10NO4~C7H11NO4,173.068785
"cis-2-chloro-4-carboxylatomethylenebut-2-en-1,4-olide",C04706,C6H2ClO4,173.971965
cis-Aconitate~cis-aconitate(3-)~cis-Aconitic acid~trans-Aconitate~trans-Aconitic acid,C00417~C02341,C6H3O6~C6H6O6,174.01641
"2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate~3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate~4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate~5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate~6-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate",C16478~C16479~C16480~C16481~C16482,C7H6FO4,174.032815
(2S)-2-Isopropyl-3-oxosuccinate~(2S)-2-isopropyl-3-oxosuccinate(2-)~2-isopropyl-3-oxosuccinate~2-Methyl-3-oxoadipate~2-Oxo-4-methyl-3-carboxypentanoate~3-Carboxy-4-methyl-2-oxopentanoate~3.4.5-Trihydroxy-1-cyclohexenecarboxylic acid~Shikimate~Shikimic acid,C00493~C04236~C18307,C7H10O5~C7H8O5~C7H9O5,174.0528
N-formimidoyl-L-glutamate(1-),C00439,C6H9N2O4,174.06403
indole-3-acetamide,C02693,C10H10N2O,174.0793
N(2)-acetyl-L-ornithine zwitterion~N-acetyl-L-ornithine~N-Acetylornithine~N2-Acetyl-L-ornithine,C00437,C7H14N2O3,174.10042
(S)-2-Amino-5-guanidinovaleric acid~2-Amino-5-guanidinovaleric acid~Amino acid(Arg-)~Arginine~L-Arginine~L-argininium(1+),C00062,C6H14N4O2~C6H15N4O2,174.11165
N-formyl-L-glutamate(2-),C01045,C6H7NO5,175.048045
7-cyano-7-carbaguanine,C15996,C7H5N5O,175.049385
(5-hydroxyindol-3-yl)acetaldehyde~(indol-3-yl)acetate,C00954~C05634,C10H8NO2~C10H9NO2,175.063315
2-Amino-5-ureidovaleric acid~Citrulline~L-Citrulline~L-citrulline zwitterion,C00327,C6H13N3O3,175.095665
"2-chloro-cis,cis-muconate(2-)~3-Chloro-2-hydroxymuconic semialdehyde~3-chloro-cis,cis-muconate(2-)",C03572~C03585~C16266,C6H3ClO4~C6H4ClO4,175.987615
"2-hydroxy-3-oxoadipate~3-deoxy-D-glycero-hexo-2,5-diulosonate~4-hydroxy-4-methyl-2-oxoglutarate(2-)~Ascorbate~Ascorbic acid~D-glucurono-6,3-lactone~L-Ascorbate~L-Ascorbic acid~L-xylo-Hex-2-ulono-1.4-lactone~L-xylo-Hex-3-ulono-1.4-lactone~L-xylo-Hexulonolactone~Vitamin C",C00072~C02670~C03217~C03289~C04349~C06033,C6H6O6~C6H7O6~C6H8O6,176.03206
N-Carbamoyl-L-aspartate~N-carbamoyl-L-aspartate(2-),C00438,C5H6N2O5~C5H8N2O5,176.04329
Allantoate,C00499,C4H7N4O4~C4H8N4O4,176.05452
"(2R,3S)-3-isopropylmalate(2-)~(2R,3S)-3-Isoproylmalate~(2R.3S)-3-Isopropylmalate~(2S)-2-Isopropylmalate~(2S)-2-isopropylmalate(2-)~2-D-threo-Hydroxy-3-carboxy-isocaproate~2-Hydroxy-2-isopropylbutanedioate~2-Isopropylmalate~2-Isopropylmalic acid~3-Carboxy-2-hydroxy-4-methylpentanoate~3-Carboxy-3-hydroxy-4-methylpentanoate~3-Carboxy-3-hydroxy-isocaproate~3-Carboxy-3-hydroxyisocaproate~3-Hydroxy-4-methyl-3-carboxypentanoate~3-Isopropylmalate~alpha-Isopropylmalate",C02504~C04411,C7H10O5~C7H12O5,176.06845
serotonin,C00780,C10H13N2O,176.09495
Diphosphate~diphosphate(3-)~PPi~Pyrophosphate~Pyrophosphoric acid,C00013,H4O7P2~H4P2O7~HO7P2,177.94319
"2,6-dichloro-p-hydroquinone",C07097,C6H3Cl2O2,177.95882
Cys-Gly~L-Cysteinylglycine,C01419,C5H10N2O3S,178.04119
"2,4,6/3,5-pentahydroxycyclohexanone~2-Dehydro-3-deoxy-D-galactonate~2-Dehydro-3-deoxy-D-gluconate~5-dehydro-2-deoxy-D-gluconate~5-deoxy-D-glucuronate~D-glucono-1,5-lactone~gamma-Gulonolactone~L-Gulonic acid gamma-lactone~L-gulono-1,4-lactone~L-Gulono-1.4-lactone~L-Gulono-gamma-lactone~L-Gulonolactone",C00198~C00204~C00691~C01040~C01216~C06892~C16737,C6H10O6~C6H9O6,178.04771
phenanthrene,C11422,C14H10,178.07825
N-Acetylanthranilate~N-benzoylglycine,C01586~C06332,C9H8NO3~C9H9NO3,179.058225
D-Glucosamine,C00329,C6H13NO5,179.079345
"2,5-dichloro-2,5-cyclohexadiene-1,4-diol",C06599,C6H6Cl2O2,179.97447
"2,3-dihydroxicinnamic acid~2,3-dihydroxy-trans-cinnamate~3-(4-Hydroxyphenyl)pyruvate~3--4-Hydroxyphenylpyruvate~4-Hydroxyphenylpyruvate~p-hydroxyphenylpyruvate~p-Hydroxyphenylpyruvic acid",C01179~C12623,C9H7O4~C9H8O4,180.04224
5-Methylthio-D-ribose~5-S-methyl-5-thio-alpha-D-ribofuranose~methylthioribose~S-Methyl-5-thio-D-ribose,C03089,C6H12O4S,180.04561
(-)-Inositol~1D-chiro-inositol~1D-myo-Inositol~1L-myo-Inositol~alpha-D-Galactose~alpha-D-Glucose~beta D-Galactose~beta-D-glucose~Bios I~Cyclohexitol~D-Allose~D-Fructose~D-galactopyranose~D-Galactose~D-glucopyranose~D-Glucose~D-mannopyranose~D-Mannose~D-myo-Inositol~Dambose~Dextrose~GALC~Glucose~Grape sugar~Inositol~keto-D-fructose~L-Inositol~L-myo-Inositol~Meat sugar~meso-Inositol~myo-Inositol,C00031~C00095~C00124~C00137~C00159~C00221~C00267~C00984~C01487~C01582~C19891,C6H12O6,180.06336
"1,7-dimethylxanthine",C13747,C7H8N4O2,180.0647
coniferol,C00590,C10H12O3,180.07863
3-Hydroxykynurenamine~5-hydroxykynurenamine,C05636~C05638,C9H13N2O2,180.08986
"7,8-dihydroxanthopterin",,C6H7N5O2,181.059945
(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid~(S)-3-(p-Hydroxyphenyl)alanine~2-Amino-3-(p-hydroxyphenyl)propionic acid~3-(p-Hydroxyphenyl)alanine~DL-Tyrosine~L-Tyrosine~L-tyrosine zwitterion~Tyrosine,C00082,C9H11NO3,181.073875
Se-methyl-L-selenocysteine zwitterion~selenohomocysteine,C05689~C05698,C4H9NO2Se,182.023315
"3-(2,3-Dihydroxyphenyl)propanoate~3-methoxy-4-hydroxyphenylglycolaldehyde~cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",C04044~C05583~C12622,C9H10O4~C9H9O4,182.05789
D-glucitol~D-Mannitol~D-Sorbitol~Galactitol,C00392~C00794~C01697,C6H14O6,182.07901
normetanephrine~R-adrenaline,C00788~C05589,C9H14NO3,183.089525
3-phospho-hydroxypyruvate~3-Phosphohydroxypyruvate~3-Phosphohydroxypyruvic acid~3-Phosphonooxypyruvate~3-Phosphonooxypyruvic acid,C03232,C3H2O7P~C3H5O7P,183.977255
"(2S)-2-hydroxy-3-oxobutyl phosphate~3,4-dihydroxy-2-butanone 4-phosphate~3-4-dihydroxy-2-butanone4-phosphate~3.4-Dihydroxy-2-butanone 4-phosphate~L-3,4-Dihydroxybutan-2-one 4-phosphate",C15556,C4H7O6P~C4H9O6P,184.013645
5-Hydroxyisourate~5-hydroxyisouric acid,C11821,C5H4N4O4,184.02322
Choline phosphate,C00588,C5H15NO4P,184.073845
3-phospho-serine~3-Phosphoserine~Dexfosfoserine~L-O-Phosphoserine~O-Phospho-L-serine~phosphoserine,C01005,C3H6NO6P~C3H8NO6P,185.00889
2-Phospho-D-glycerate~3-Phospho-(R)-glycerate~3-Phospho-D-glycerate~3-Phospho-DL-glycerate~3-Phosphoglycerate~D-Glycerate 2-phosphate~D-Glycerate 3-phosphate~D-Glycerate2-phosphate~DL-Glycerate 3-phosphate~Glycerate 3-phosphate,C00197~C00631,C3H4O7P~C3H7O7P,185.992905
"2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate(2-)~2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate~2-Carboxy-2.5-dihydro-5-oxofuran-2-acetate~3-carboxy-cis,cis-muconate(3-)~4-Carboxymuconolactone~5-Carboxy-2.5-dihydro-2-oxofuran-5-acetate~gamma-Carboxymuconolactone",C01163~C01278,C7H3O6~C7H4O6~C7H6O6,186.01641
"biphenyl-2,3-diol",C02526,C12H10O2,186.06807
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate",C20258,C7H7NO5,187.048045
8-Amino-7-oxononanoate~8-Amino-7-oxononanoic acid~8-amino-7-oxononanoic acid zwitterion,C01092,C9H17NO3,187.120825
N1-Acetylspermidine~N8-Acetylspermidine,C00612~C01029,C9H21N3O,187.168445
2-chloro-5-methyl-dienelactone~3-chloro-2-methyl-dienelactone,C18304~C18309,C7H4ClO4~C7H6ClO4,187.987615
"(E)-3-(Methoxycarbonyl)pent-2-enedioate~(Z)-But-2-ene-1,2,3-tricarboxylate~(Z)-But-2-ene-1.2.3-tricarboxylate~2-methyl-cis-aconitase~but-1-ene-1,2,4-tricarboxylate~cis-2-Methylaconitate~E-3-carboxy-2-pentenedioate 6-methyl ester",C04002~C04225~C11514,C7H5O6~C7H8O6,188.03206
1-hydroxy-2-naphthoate,C03203,C11H7O3,188.04733
"7,8-Diaminononanoate~7,8-diaminononanoate cation~7-8-Diaminononanoate~7.8-Diaminononanoate~N(6),N(6),N(6)-trimethyl-L-lysine",C01037~C03793,C9H20N2O2~C9H21N2O2,188.15246
L-2-Amino-6-oxoheptanedioate~L-2-Amino-6-oxopimelate~N-Acetyl-L-glutamate~N-acetyl-L-glutamate(2-)~N-Acetyl-L-glutamic acid,C00624~C03871,C7H11NO5~C7H9NO5,189.063695
oxalatosuccinate(3-)~Oxalosuccinate~Oxalosuccinic acid,C05379,C6H3O7~C6H6O7,190.01132
"(-)-3-dehydroquinate~2,4-dihydroxyhept-2-enedioate~3-Dehydroquinate~3-Dehydroquinic acid~5-Dehydroquinate~5-Dehydroquinic acid",C00944~C06201,C7H10O6~C7H8O6~C7H9O6,190.04771
"(2S,6S)-2,6-diaminopimelic acid dizwitterion~LL-2,6-Diaminoheptanedioate~LL-2-6-Diaminoheptanedioate~LL-2.6-Diaminoheptanedioate~LL-2.6-Diaminopimelate~LL-2.6-Diaminopimelic acid~meso-2,6-Diaminoheptanedioate~meso-2,6-diaminopimelic acid dizwitterion~meso-2-6-Diaminoheptanedioate~meso-2.6-Diaminoheptanedioate~meso-2.6-Diaminopimelate~meso-2.6-Diaminopimelic acid~meso-Diaminoheptanedioate",C00666~C00680,C7H14N2O4,190.09533
(5-hydroxyindol-3-yl)acetate,C05635,C10H8NO3,191.058225
2-chloromaleylacetate,C06329,C6H3ClO5,191.982525
"1-Hydroxypropane-1.2.3-tricarboxylic acid~1-Hydroxytricarballylic acid~2,3-Dioxo-L-gulonate~2,5-diketo-D-gluconate~2-dehydro-3-deoxy-D-glucarate(2-)~2-Hydroxy-1.2.3-propanetricarboxylic acid~2-Hydroxytricarballylic acid~5-Dehydro-4-deoxy-D-glucarate~5-dehydro-4-deoxy-D-glucarate(2-)~Citrate~Citric acid~Isocitrate~isocitrate(3-)~Isocitric acid",C00158~C00311~C00679~C02780~C03921~C04575,C6H5O7~C6H6O7~C6H8O7,192.02697
Quinate,C00296,C7H12O6,192.06336
2-chloro-3-oxoadipate,C12836,C6H5ClO5,193.998175
2-Dehydro-L-gulonate~3-Dehydro-L-gulonate~5-Dehydro-D-gluconate~D-Fructuronate~D-Galacturonate~D-Glucuronate~D-Tagaturonate,C00191~C00333~C00558~C00618~C00905~C01062~C06473,C6H10O7~C6H9O7,194.04262
"1,2-epoxy-1,2-dihydrophenanthrene~1-phenanthrol~9,10-epoxy-9,10-dihydrophenanthrene",C11429~C11431~C11432,C14H10O,194.07316
"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine~2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridine~2-Amino-4-hydroxy-6-hydroxymethyl-7.8-dihydropteridine~2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol~6-hydroxymethyl dihydropterin",C01300,C7H9N5O2,195.075595
"2,4,6-trichlorophenol",C07098,C6H2Cl3O,195.924935
L-selenomethionine,C05335,C5H11NO2Se,196.038965
D-Altronate~D-Galactonate~D-Gluconate~D-Mannonate~L-Galactonate~L-Idonate,C00257~C00514~C00770~C00817~C00880~C15930,C6H11O7~C6H12O7,196.05827
metanephrine,C05588,C10H16NO3,197.105175
"4-ethylamino-6-isopropylamino-1,3,5-triazin-2-ol",C06552,C8H15N5O,197.127635
"2,4,5-trichlorocyclohexa-2,5-dien-1-ol",C06598,C6H5Cl3O,197.940585
1-deoxy-1-imino-D-erythrose 4-phosphate~L-Threonine O-3-phosphate~L-Threonine phosphate~O-Phospho-L-homoserine~O-phosphonato-L-homoserine(2-),C01102~C12147~C12215,C4H10NO6P~C4H8NO6P~C4H9NO6P,199.02454
gamma-Glutamyl-3-aminopropiononitrile~gamma-Glutamyl-beta-aminopropiononitrile,C06114,C8H13N3O3,199.095665
D-Erythrose 4-phosphate~D-erythrose 4-phosphate(2-)~D-Erythrose4-phosphate,C00279,C4H7O7P~C4H9O7P,200.008555
4-Fumarylacetoacetate~4-Maleylacetoacetate,C01036~C01061,C8H6O6~C8H8O6,200.03206
Bis(4-hydroxyphenyl)methane,C14298,C13H12O2,200.08372
"3,6,8-trimethylallantoin",C16362,C7H12N4O3,200.09091
ddca~Dodecanoate~dodecanoate (C12:0)~Dodecanoate (n-C12:0)~Dodecanoic acid~Dodecylcarboxylate~Lauric acid,C02679,C12H24O2,200.17762
Hg2+~Mercuric ion~Mercury (charged +2)~Mercury(2+),C00703,Hg,200.59
S-sulfo-L-cysteine,C05824,C3H6NO5S2,200.976535
benzoyl phosphate,C06206,C7H5O5P,202.003085
"5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate~5-Hydroxy-2-oxo-4-ureido-2.5-dihydro-1H-imidazole-5-carboxylate",C12248,C5H5N4O5~C5H6N4O5,202.03378
NG.NG-Dimethyl-L-arginine~Nomega.Nomega&#39;-Dimethyl-L-arginine,C03626,C8H18N4O2,202.14295
3-(indol-3-yl)pyruvate,C00331,C11H8NO3,203.058225
"1,4-Dihydroxy-2-naphthoate~1-4-Dihydroxy-2-naphthoate~1.4-Dihydroxy-2-naphthoate",C03657,C11H7O4~C11H8O4,204.04224
(S)-alpha-Amino-beta-(3-indolyl)-propionic acid~alpha-Amino-beta-(3-indolyl)-propionic acid~L-Tryptophan~L-tryptophan zwitterion~Tryptophan,C00078,C11H12N2O2,204.08986
Lipoamide,C00248,C8H15NOS2,205.059495
